"ACCURACY","F1_SCORE","PRECISION","RECALL","ML_FRAMEWORK","TRANSFER_LEARNING","DEEP_LEARNING","MODEL_TYPE","DEPTH","NUM_PARAMS","AVERAGEPOOLING2D_LAYERS","CONV2D_LAYERS","BATCHNORMALIZATION_LAYERS","DENSE_LAYERS","MAXPOOLING2D_LAYERS","INPUTLAYER_LAYERS","AVERAGE_LAYERS","ADD_LAYERS","GLOBALAVERAGEPOOLING2D_LAYERS","ZEROPADDING2D_LAYERS","DROPOUT_LAYERS","DEPTHWISECONV2D_LAYERS","FLATTEN_LAYERS","CONCATENATE_LAYERS","SIGMOID_ACT","SELU_ACT","RELU_ACT","SOFTMAX_ACT","LOSS","OPTIMIZER","MEMORY_SIZE","TEAM","USERNAME","TIMESTAMP","VERSION"
"0.3330751356","0.1665698237","0.1110250452","0.3333333333","keras","null","true","Sequential","19","4353443","null","13","null","1","4","null","null","null","null","null","null","null","1","null","null","null","13","1","str","Adam","17417880","null","mcmurrym","2023-03-14 05:44:31.188876","342"
"0.3330751356","0.1665698237","0.1110250452","0.3333333333","keras","true","true","Functional","219","21901091","9","94","94","1","4","1","null","null","null","null","null","null","1","15","null","null","94","1","str","SGD","87654504","null","mcmurrym","2023-03-14 06:31:50.924316","349"
"0.3330751356","0.1665698237","0.1110250452","0.3333333333","keras","null","true","Sequential","16","3811619","null","10","null","1","4","null","null","null","null","null","null","null","1","null","null","null","10","1","str","Adam","15249712","null","eminilkay","2023-03-07 21:53:53.227394","47"
"0.3330751356","0.1665698237","0.1110250452","0.3333333333","keras","null","true","Sequential","21","3816611","null","10","5","1","4","null","null","null","null","null","null","null","1","null","null","null","10","1","str","Adam","15272088","null","Rochuz","2023-03-07 21:55:02.819398","49"
"0.3330751356","0.1665698237","0.1110250452","0.3333333333","keras","null","true","Sequential","12","471635","null","6","2","1","2","null","null","null","null","null","null","null","1","null","null","null","6","1","str","Adam","1889576","null","so2638","2023-03-14 16:56:44.787493","380"
"0.3330751356","0.1665698237","0.1110250452","0.3333333333","unknown","null","null","unknown","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","eminilkay","2023-03-07 21:56:06.443613","52"
"0.3330751356","0.1665698237","0.1110250452","0.3333333333","keras","null","true","Sequential","16","3811619","null","10","null","1","4","null","null","null","null","null","null","null","1","null","null","null","10","1","str","Adam","15249704","null","arushisaranath","2023-03-14 16:22:08.040981","376"
"0.3330751356","0.1665698237","0.1110250452","0.3333333333","keras","null","true","Sequential","16","3811619","null","10","null","1","4","null","null","null","null","null","null","null","1","null","null","null","10","1","str","Adam","15249704","null","arushisaranath","2023-03-14 16:20:59.037339","375"
"0.3330751356","0.1665698237","0.1110250452","0.3333333333","unknown","null","null","unknown","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","mymstella","2023-03-11 18:53:27.243020","173"
"0.3330751356","0.1665698237","0.1110250452","0.3333333333","keras","true","true","Functional","128","23593859","null","53","53","1","1","1","null","16","1","2","null","null","null","null","null","null","49","1","str","SGD","94416728","null","sairachawla","2023-03-14 15:55:52.669955","372"
